contact,jurisdiction,band,owner,date_sent,channel,reply_status,next_action,next_action_date
"Municipal Administrator, or Clerk if the town has no administrator","Edison, Middlesex County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Closter, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Bergenfield, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","River Vale, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Glen Rock, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Paramus, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Northvale, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","North Haledon, Passaic County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Norwood, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Ringwood, Passaic County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Hillsdale, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Wayne, Passaic County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Haworth, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Maywood, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Elmwood Park, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Rockleigh, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Municipal Administrator, or Clerk if the town has no administrator","Teaneck, Bergen County",1 records,Antonio Salters,,,not started,records request,
"Director, Community Development, the office that administers CDBG and HOME",Bergen County,2 county funding,Antonio Salters,,,not started,verify contact,
"Director, Community Development, the office that administers CDBG and HOME",Middlesex County,2 county funding,Antonio Salters,,,not started,verify contact,
"Director, Community Development, the office that administers CDBG and HOME",Passaic County,2 county funding,Antonio Salters,,,not started,verify contact,
Mayor,"North Haledon, Passaic County",4 ATC rental,Salvador Moran,,,not started,verify contact,
Mayor,"Teaneck, Bergen County",4 ATC rental,Salvador Moran,,,not started,verify contact,
County Executive or County Administrator,Bergen County,5 county other,Salvador Moran,,,not started,verify contact,
"Director, Human Services",Bergen County,5 county other,Antonio Salters,,,not started,verify contact,
"Director, Planning Department",Bergen County,5 county other,Antonio Salters,,,not started,verify contact,
"Executive Director, county housing authority, correct entity to be identified",Bergen County,5 county other,Antonio Salters,,,not started,verify contact,
County Executive or County Administrator,Middlesex County,5 county other,Salvador Moran,,,not started,verify contact,
"Director, Human Services",Middlesex County,5 county other,Antonio Salters,,,not started,verify contact,
"Director, Planning Department",Middlesex County,5 county other,Antonio Salters,,,not started,verify contact,
"Executive Director, county housing authority, correct entity to be identified",Middlesex County,5 county other,Antonio Salters,,,not started,verify contact,
County Executive or County Administrator,Passaic County,5 county other,Salvador Moran,,,not started,verify contact,
"Director, Human Services",Passaic County,5 county other,Antonio Salters,,,not started,verify contact,
"Director, Planning Department",Passaic County,5 county other,Antonio Salters,,,not started,verify contact,
"Executive Director, county housing authority, correct entity to be identified",Passaic County,5 county other,Antonio Salters,,,not started,verify contact,
Mayor,"Edison, Middlesex County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Closter, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Bergenfield, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"River Vale, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Glen Rock, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Paramus, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Northvale, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Norwood, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Ringwood, Passaic County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Hillsdale, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Wayne, Passaic County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Haworth, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Maywood, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Elmwood Park, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
Mayor,"Rockleigh, Bergen County",5 mayors,Salvador Moran,,,not started,verify contact,
"Municipal Administrator, or Clerk if the town has no administrator","Westwood, Bergen County",0 FROZEN,frozen,,,not started,awaiting Antonio ruling,
Mayor,"Westwood, Bergen County",0 FROZEN,frozen,,,not started,awaiting Antonio ruling,
