contact_name,title,jurisdiction,email,source_url,why_they_matter,single_ask,priority_tier
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Edison, Middlesex County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Edison since 1997 and runs 4 facilities here (Edison 100, Edison 300, Edison ATC, Edison Condos). The administrator or clerk holds the list of municipally owned property and the housing element.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Closter, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Closter since 1983 and runs 2 facilities here (Closter Apts., Closter ICF). The administrator or clerk holds the list of municipally owned property and the housing element.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Bergenfield, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Bergenfield since 1988 and runs 2 facilities here (Bergenfield (Respite), Guttenberg). The administrator or clerk holds the list of municipally owned property and the housing element.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","River Vale, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in River Vale since 1990 and runs 2 facilities here (River Vale Apts., RVCO). The administrator or clerk holds the list of municipally owned property and the housing element.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Glen Rock, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Glen Rock since 1993 and runs 2 facilities here (Glen Rock, Highwood). The administrator or clerk holds the list of municipally owned property and the housing element.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Paramus, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Paramus since 1988 and runs 1 facility here (Paramus). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Northvale, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Northvale since 1988 and runs 1 facility here (Northvale). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","North Haledon, Passaic County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in North Haledon since 1989 and runs 1 facility here (N. Haledon ATC). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Norwood, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Norwood since 1989 and runs 1 facility here (Norwood). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Ringwood, Passaic County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Ringwood since 2002 and runs 2 facilities here (Ringwood ATC, Ringwood Apts.). The administrator or clerk holds the list of municipally owned property and the housing element.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Hillsdale, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Hillsdale since 1993 and runs 1 facility here (Hillsdale). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Wayne, Passaic County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Wayne since 1993 and runs 1 facility here (Wayne). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Haworth, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Haworth since 1996 and runs 1 facility here (Haworth). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Maywood, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Maywood since 1998 and runs 1 facility here (Maywood). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Elmwood Park, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Elmwood Park since 1999 and runs 1 facility here (Elmwood Park). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Rockleigh, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Rockleigh since 1999 and runs 1 facility here (Rockleigh Apts.). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
